Image,Id,x,y,channels
0000e88ab.jpg,w_f48451c,700,1050,3
0001f9222.jpg,w_c3d896a,325,758,3
00029d126.jpg,w_20df2c5,497,1050,3
00050a15a.jpg,new_whale,525,1050,3
0005c1ef8.jpg,new_whale,525,1050,3
0006e997e.jpg,new_whale,276,980,3
000a6daec.jpg,w_dd88965,458,1050,3
000f0f2bf.jpg,new_whale,700,1050,3
0016b897a.jpg,w_64404ac,450,1050,3
001c1ac5f.jpg,w_a6f9d33,667,1000,3
001cae55b.jpg,w_581ba42,476,1050,3
001d7450c.jpg,new_whale,600,1050,1
00200e115.jpg,new_whale,600,1050,1
00245a598.jpg,new_whale,450,1050,3
002b4615d.jpg,new_whale,492,1050,3
002f99f01.jpg,new_whale,590,886,3
00355ff28.jpg,w_cb622a2,285,1050,3
00357e37a.jpg,w_d3b46e7,347,1050,3
003795857.jpg,new_whale,329,1050,3
0041880bf.jpg,new_whale,500,700,1
0043da555.jpg,new_whale,717,984,3
00442c882.jpg,w_8cad422,525,918,3
00464ff65.jpg,new_whale,768,1050,3
004775679.jpg,w_13ae3d4,525,1050,3
004ae9e26.jpg,new_whale,305,1050,3
004c0f43b.jpg,new_whale,600,1050,1
004e8ad5b.jpg,w_3de579a,700,1050,3
004f87702.jpg,w_1d0830e,700,1050,3
0050ef29d.jpg,w_2ba6978,397,1050,3
00514c876.jpg,w_8dddbee,450,900,3
0052ce2f5.jpg,w_2365d55,700,1050,3
00537ec91.jpg,w_3879fa0,700,1050,3
00570db6b.jpg,w_9c506f6,601,1050,3
005ce3100.jpg,new_whale,600,1050,1
00600ce17.jpg,new_whale,600,1050,1
006017ddf.jpg,w_8a6a8d5,337,1050,3
0060f764a.jpg,w_662530e,283,1050,3
006500b3d.jpg,w_a8b34a0,283,1050,3
006506edf.jpg,new_whale,412,1050,3
0067b3a20.jpg,w_c0d11da,690,1050,3
006bdc6ff.jpg,new_whale,450,1050,3
00713060e.jpg,w_50e8d58,460,1050,3
007218187.jpg,new_whale,688,1032,3
0073118da.jpg,w_3881f28,409,1050,3
007a7846f.jpg,w_9ad3551,412,1050,3
007b62e05.jpg,w_cee684e,600,1050,3
007f3eb46.jpg,w_41d24c6,410,1050,3
008124524.jpg,w_8a235b6,307,1050,3
0084fe40b.jpg,w_2e231f4,227,677,3
0085064af.jpg,new_whale,442,878,3
0085a6bd0.jpg,new_whale,608,912,3
00869b59e.jpg,new_whale,490,818,3
008bf89fc.jpg,w_6822dbc,600,1050,3
008ebc50d.jpg,w_df86a42,450,1050,3
00910010d.jpg,w_700ebb4,700,1050,3
00917baa4.jpg,new_whale,537,933,3
0093454b6.jpg,w_d892cd9,350,1050,3
009431af0.jpg,w_7a4b2f9,642,963,3
009589b45.jpg,w_bc285a6,356,1050,3
0095fe89c.jpg,new_whale,600,1050,1
00961802f.jpg,w_c70fbcd,395,691,3
009687166.jpg,w_778e474,630,1050,3
0096c8ff3.jpg,w_f3252ff,304,822,3
009c45bc7.jpg,w_2df85e7,700,1050,3
00a3dd76f.jpg,w_c7cda47,700,1050,3
00a46c559.jpg,new_whale,418,975,3
00a4de95e.jpg,w_62bb54b,411,1050,3
00a70e649.jpg,new_whale,639,894,3
00a9dc47d.jpg,w_c6c89db,102,365,3
00aae723d.jpg,new_whale,861,1050,3
00b7ffb8a.jpg,w_1531bf5,600,1050,3
00b92e9bf.jpg,w_4e1e04d,500,699,1
00bc4dade.jpg,w_d6ca28d,675,1050,3
00c59bce9.jpg,w_1260eb5,525,1050,3
00caa5c60.jpg,w_fccccec,700,1050,3
00cf9982e.jpg,w_acd217a,641,1050,3
00d07df97.jpg,w_5650932,450,1050,3
00d1615b1.jpg,new_whale,700,1050,3
00d43f154.jpg,w_c98aaad,450,1050,3
00d4a4967.jpg,new_whale,884,1004,3
00d641885.jpg,w_dd944b7,540,1050,3
00d6cbcbf.jpg,w_6f0cbe3,698,1050,3
00d7dc401.jpg,w_6cfa650,600,1050,3
00d831b06.jpg,w_6e209a8,319,992,3
00d9e8278.jpg,w_1ea5d96,600,900,3
00dcd026f.jpg,w_914b110,700,1050,3
00de0f4c8.jpg,new_whale,525,1050,3
00ded1101.jpg,new_whale,600,1050,3
00e059776.jpg,new_whale,527,1050,3
00e4afee9.jpg,new_whale,562,1050,3
00e68dc59.jpg,w_bf33ddf,653,1050,3
00e9e5122.jpg,w_0369a5c,600,1050,3
00eaedfab.jpg,w_13c9a17,269,1050,3
00ec09075.jpg,new_whale,500,700,1
00ec13a19.jpg,w_3ff114c,707,1050,3
00f0bde81.jpg,w_c896384,358,1050,3
00f5927ae.jpg,new_whale,584,879,3
00f5aba71.jpg,new_whale,277,1050,3
00fee3975.jpg,w_a9304b9,700,1050,3
010262224.jpg,w_48fa708,328,1050,3
01043c88f.jpg,w_b44e89d,376,1050,3
01043cc4b.jpg,new_whale,525,1050,3
01070510c.jpg,w_b7e3a9f,450,900,3
01078982f.jpg,w_691b684,450,1050,3
0108c3e2b.jpg,new_whale,525,1050,3
010a1f0eb.jpg,new_whale,600,1050,1
010d37b13.jpg,new_whale,433,723,3
011258703.jpg,w_8be8406,700,1050,3
0117ac323.jpg,w_4516d31,751,1050,3
0118a64b8.jpg,w_dd00c66,700,1050,3
01216c238.jpg,w_396c12b,700,1050,3
01237f1ce.jpg,new_whale,503,1050,3
0124d2989.jpg,w_03270e3,701,1050,3
01324f822.jpg,w_fbc7895,301,1050,3
0135bf774.jpg,new_whale,513,770,3
0138b56d1.jpg,w_5597026,600,1050,3
0139248b7.jpg,w_8a71ca4,693,1050,3
013935e54.jpg,w_a8c2847,450,1050,3
01396f4d1.jpg,new_whale,700,1050,3
01425e516.jpg,w_581ba42,700,1050,3
0145d6294.jpg,w_9739508,312,1050,3
0148ba553.jpg,w_ac97190,334,1050,3
0148dbdd2.jpg,new_whale,252,1050,3
014a7cdf0.jpg,new_whale,247,501,3
014c052b5.jpg,w_ddb62c2,348,835,3
014c0deb5.jpg,w_13c1b55,633,1050,3
014c130f2.jpg,new_whale,525,1050,3
0150758c7.jpg,w_5a9abcf,450,1050,3
0150f16ec.jpg,new_whale,444,1050,3
015889aa3.jpg,new_whale,600,1050,1
01598711e.jpg,w_3de579a,600,1050,3
0159c02d4.jpg,w_7571b52,254,1050,3
015a0c58d.jpg,w_40a8585,405,640,3
015b868a1.jpg,w_71af602,284,568,3
016173748.jpg,new_whale,600,1050,1
0163ab035.jpg,w_6189444,760,1050,3
0165c60f3.jpg,w_deacb11,162,376,3
016768c94.jpg,w_9769f0b,620,930,3
016791b76.jpg,w_f74a89e,450,1050,3
01699beb5.jpg,w_263bd97,170,1050,3
016aa69cf.jpg,w_f1cd92c,312,1050,3
016ac2f79.jpg,w_688590b,699,1050,3
016af7b1e.jpg,new_whale,566,991,1
016dfbd1e.jpg,w_77150d0,482,1050,3
016f26c74.jpg,w_08630fd,600,1050,3
